,MAKE_MODEL,ENGINE_TYPE,ENGINE_DISPLACEMENT,TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE,TANK_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION
157,Ferrari 812,V12 - 65°,6496 cc,Automatic,Petrol,N/A,92 Litres,adaptive magnetic suspension,adaptive magnetic suspension
158,Ferrari F8 Tributo,90-degree V8 twin turbo Engine,3902 cc,Automatic,Petrol,N/A,78 Litres,"independent,double wishbones(Adaptive Dampers)","independent,multi-link(Adaptive Dampers)"
159,Force Gurkha,FM 2.6L CRDi,2596 cc,Manual,Diesel,N/A,63 Litres,Coil Spring Suspension,Coil Spring Suspension
160,Isuzu D-Max,VGT Intercooled Diesel,2499 cc,Manual,Diesel,N/A,55 Litres,"Double Wishbone, Coil Spring",Semi-Elliptic Leaf Spring
161,Isuzu MU-X,1.9L Ddi Diesel,1898 cc,Automatic,Diesel,12.31 kmpl,55 Litres,Independent Double wishbone coil springs gas shock absorbers stabiliser bar,Penta-link coil suspension gas shock absorbers stabiliser bar
162,Isuzu V-Cross,VGS Turbo Intercooled Diesel,1898 cc,Automatic,Diesel,N/A,55 Litres,"Independent Double Wishbone, Coil Spring","Soft Ride, Leaf Spring"
163,Isuzu S-CAB,VGT Intercooled Diesel,2499 cc,Manual,Diesel,N/A,55 Litres,"Double Wishbone, Coil Spring",Semi-Elliptic Leaf Spring
164,Isuzu S-CAB Z,Variable Geometric Turbo Intercooled,2499 cc,Manual,Diesel,N/A,55 Litres,N/A,N/A
165,Isuzu Hi-Lander,VGS Turbo Intercooled Diesel,1898 cc,Manual,Diesel,N/A,55 Litres,"Independent Double Wishbone, Coil Spring","Soft Rid, Leaf Spring"
166,Jaguar F-Pace,EngineType,1997 cc,Automatic,Diesel,N/A,60 Litres,N/A,N/A
167,Jaguar F-TYPE,P450 Petrol Engine,5000 cc,Automatic,Petrol,N/A,70 Litres,Air Suspension,Air Suspension
168,Jaguar I-Pace,N/A,N/A,Automatic,Electric,N/A,N/A,Coil Suspension,Coil Suspension
169,Lamborghini Urus,V8 bi-turbo engine,3996 cc,Automatic,Petrol,N/A,75 Litres,adaptive air suspension,adaptive air suspension
170,Lamborghini Revuelto,V12 NA 6.5l,6498 cc,Automatic,Petrol,N/A,N/A,double wishbone with LMR dampers,double wishbone with LMR dampers
171,Lamborghini Huracan EVO,"V10 cylinder 90°,dual injection",5204 cc,Automatic,Petrol,N/A,80 Litres,Aluminum double-wishbone suspension,Aluminum double-wishbone suspension
172,Land Rover Defender,3.0 Litre Diesel Engine,4998 cc,Automatic,Petrol,6.8 kmpl,N/A,Double wishbones Coil Suspension,Multi-link
173,Land Rover Range Rover,EngineType,4367 cc,Automatic,Petrol,8.7 kmpl,90 Litres,Electronic Air Suspension with Dynamic Response,Electronic Air Suspension with Dynamic Response
174,Land Rover Range Rover Velar,TD4 Engine,1997 cc,Automatic,Petrol,N/A,82 Litres,Electronic Air Suspension,Electronic Air Suspension
175,Land Rover Range Rover Evoque,N/A,1997 cc,Automatic,Diesel,N/A,N/A,N/A,N/A
176,Land Rover Range Rover Sport,EngineType,4395 cc,Automatic,Petrol,N/A,86 Litres,Dynamic Air Suspension,Dynamic Air Suspension
177,Land Rover Discovery,EngineType,2997 cc,Automatic,Diesel,N/A,N/A,Electronic Air Suspension,Electronic Air Suspension
178,Land Rover Discovery Sport,Diesel Engine,1999 cc,Automatic,Diesel,6.9 kmpl,65 Litres,MacPherson Strut,Integral Coil Spring
179,Lexus ES,2AR-FXE,2487 cc,Automatic,Petrol,N/A,50 Litres,MacPherson struts,Double Wishbone
180,Lexus LC 500h,3.5-literV6FourCam,3456 cc,Automatic,Petrol,12.3 kmpl,82 Litres,"Multi-link type,coil springs",multi-link suspension
181,Lexus LS,8GR FXS V6 24-valve DOHC with Dual VVT-i,3456 cc,Automatic,Petrol,15.4 kmpl,82 Litres,AIR Adaptive Variable Suspension,AIR Adaptive Variable Suspension
182,Lexus LM,N/A,2487 cc,Automatic,Petrol,N/A,N/A,N/A,N/A
183,Lexus LX,3.5-liter V6 twin-turbo,3346 cc,Automatic,Diesel,N/A,80 Litres,Adaptive Variable Suspension,Adaptive Variable Suspension
184,Lexus NX,A25B-FXS,2487 cc,Automatic,Petrol,N/A,55 Litres,MacPherson Strut,Double-wishbone
185,Lexus RX,2.5L in-line Twin Cam (A25A-FXS/A25B-FXS,2487 cc,Automatic,Petrol,N/A,N/A,MacPherson Struts,"Multi-link Type, Coil Spring"
186,Lotus Eletre,N/A,N/A,Automatic,Electric,N/A,N/A,Multi-link,Multi-link
187,Maserati Levante,3.0L V6 Diesel Engine,2979 cc,Automatic,Petrol,12 kmpl,80 Litres,Air Adaptive Suspensions,Air Adaptive Suspensions
188,Maserati Ghibli,EngineType,3799 cc,Automatic,Petrol,N/A,80 Litres,SKYHOOK SUSPENSION,SKYHOOK SUSPENSION
189,Maserati GranTurismo,V-Type Petrol Engine,4691 cc,Automatic,Petrol,10 kmpl,86 Litres,Double Wishbone,Five-Arm Multilink
